,year,category,winner,title,genres,MovieLensrating,runtimeMinutes,IMDBRating,numVotes
0,1944,BEST PICTURE,False,Double Indemnity,Crime|Drama|Film-Noir,4.2,107,8.3,125662.0
1,1944,BEST PICTURE,False,Gaslight,Drama|Thriller,4.03,114,7.8,20733.0
2,1944,BEST PICTURE,True,Going My Way,Comedy|Drama|Musical,3.56,126,7.2,9228.0
3,1944,BEST PICTURE,False,Since You Went Away,Drama|War,3.65,177,7.6,3879.0
4,1944,BEST PICTURE,False,Wilson,Drama,3.21,154,6.8,1314.0
5,1945,BEST PICTURE,False,Anchors Aweigh,Comedy|Musical,3.56,140,7.2,7177.0
6,1945,BEST PICTURE,False,The Bells of St. Mary's,,,126,7.4,6375.0
7,1945,BEST PICTURE,True,The Lost Weekend,,,101,8.0,30176.0
8,1945,BEST PICTURE,False,Mildred Pierce,Drama|Film-Noir,3.93,111,8.0,19982.0
9,1945,BEST PICTURE,False,Spellbound,Mystery|Romance|Thriller,3.89,111,7.6,39065.0
10,1946,BEST PICTURE,True,The Best Years of Our Lives,,,170,8.1,52846.0
11,1946,BEST PICTURE,False,Henry V,,,,,
12,1946,BEST PICTURE,False,It's a Wonderful Life,Children|Drama|Fantasy|Romance,4.02,130,8.6,352487.0
13,1946,BEST PICTURE,False,The Razor's Edge,,,145,7.5,4785.0
14,1946,BEST PICTURE,False,The Yearling,,,128,7.3,4868.0
15,1947,BEST PICTURE,False,The Bishop's Wife,,,109,7.6,12388.0
16,1947,BEST PICTURE,False,Crossfire,Crime|Film-Noir,3.66,86,7.4,6599.0
17,1947,BEST PICTURE,True,Gentleman's Agreement,Drama,3.74,118,7.4,13157.0
18,1947,BEST PICTURE,False,Great Expectations,,,,,
19,1947,BEST PICTURE,False,Miracle on 34th Street,Comedy|Drama,3.71,96,7.9,36755.0
20,1948,BEST PICTURE,True,Hamlet,Drama,3.75,154,7.8,13761.0
21,1948,BEST PICTURE,False,Johnny Belinda,Drama,3.53,102,7.8,3809.0
22,1948,BEST PICTURE,False,The Red Shoes,,,134,8.3,24336.0
23,1948,BEST PICTURE,False,The Snake Pit,,,108,7.6,5942.0
24,1948,BEST PICTURE,False,The Treasure of the Sierra Madre,,,126,8.2,100647.0
25,1949,BEST PICTURE,True,All the King's Men,Drama,3.9,110,7.5,11860.0
26,1949,BEST PICTURE,False,Battleground,Action|Drama|War,3.53,118,7.5,6037.0
27,1949,BEST PICTURE,False,The Heiress,,,115,8.2,11689.0
28,1949,BEST PICTURE,False,A Letter to Three Wives,,,103,7.8,7496.0
29,1949,BEST PICTURE,False,Twelve O'Clock High,Drama|War,3.89,132,7.8,11391.0
30,1950,BEST PICTURE,True,All about Eve,,,,,
31,1950,BEST PICTURE,False,Born Yesterday,Comedy,3.85,103,7.6,8916.0
32,1950,BEST PICTURE,False,Father of the Bride,Comedy,3.46,92,7.2,9134.0
33,1950,BEST PICTURE,False,King Solomon's Mines,Action|Adventure|Romance,3.33,103,6.9,5170.0
34,1950,BEST PICTURE,False,Sunset Blvd.,,,,,
35,1951,BEST PICTURE,True,An American in Paris,,,114,7.2,27161.0
36,1951,BEST PICTURE,False,Decision before Dawn,,,,,
37,1951,BEST PICTURE,False,A Place in the Sun,,,122,7.8,17906.0
38,1951,BEST PICTURE,False,Quo Vadis,Drama|Romance,3.33,171,7.2,12087.0
39,1951,BEST PICTURE,False,A Streetcar Named Desire,,,122,8.0,90884.0
40,1952,BEST PICTURE,True,The Greatest Show on Earth,,,152,6.7,11488.0
41,1952,BEST PICTURE,False,High Noon,Drama|Western,4.04,85,8.0,89920.0
42,1952,BEST PICTURE,False,Ivanhoe,Adventure|Drama|Romance,3.18,106,6.8,7442.0
43,1952,BEST PICTURE,False,Moulin Rouge,Drama,3.21,119,7.1,4479.0
44,1952,BEST PICTURE,False,The Quiet Man,,,129,7.8,31544.0
45,1953,BEST PICTURE,True,From Here to Eternity,Drama|Romance|War,3.93,118,7.7,39191.0
46,1953,BEST PICTURE,False,Julius Caesar,Drama,3.55,120,7.4,9332.0
47,1953,BEST PICTURE,False,Julius Caesar,Drama,3.55,\N,,
48,1953,BEST PICTURE,False,The Robe,,,135,6.8,8055.0
49,1953,BEST PICTURE,False,Roman Holiday,Comedy|Drama|Romance,4.06,118,8.1,116728.0
50,1953,BEST PICTURE,False,Shane,Drama|Western,3.76,118,7.7,33258.0
51,1954,BEST PICTURE,False,The Caine Mutiny,,,124,7.8,22510.0
52,1954,BEST PICTURE,False,The Country Girl,,,104,7.3,4831.0
53,1954,BEST PICTURE,True,On the Waterfront,Crime|Drama,4.13,108,8.2,127596.0
54,1954,BEST PICTURE,False,Seven Brides for Seven Brothers,Comedy|Musical|Romance|Western,3.55,102,7.4,19272.0
55,1954,BEST PICTURE,False,Three Coins in the Fountain,Drama|Romance,2.82,102,6.3,2742.0
56,1955,BEST PICTURE,False,Love Is a Many-Splendored Thing,Drama|Romance|War,3.27,102,6.6,4011.0
57,1955,BEST PICTURE,True,Marty,Drama|Romance,3.9,90,7.7,18971.0
58,1955,BEST PICTURE,False,Mister Roberts,Comedy|Drama|War,4.04,123,7.7,14223.0
59,1955,BEST PICTURE,False,Picnic,Drama,3.65,,,
60,1955,BEST PICTURE,False,The Rose Tattoo,,,117,7.2,3124.0
61,1956,BEST PICTURE,True,Around the World in 80 Days,Adventure|Comedy,3.47,175,6.8,21952.0
62,1956,BEST PICTURE,False,Friendly Persuasion,Drama,3.81,137,7.5,5735.0
63,1956,BEST PICTURE,False,Giant,Drama|Romance|Western,3.74,201,7.7,30945.0
64,1956,BEST PICTURE,False,The King and I,,,133,7.5,21995.0
65,1956,BEST PICTURE,False,The Ten Commandments,,,220,7.9,56606.0
66,1957,BEST PICTURE,True,The Bridge on the River Kwai,,,161,8.2,184678.0
67,1957,BEST PICTURE,False,Peyton Place,Drama|Romance,3.3,157,7.2,4708.0
68,1957,BEST PICTURE,False,Sayonara,Drama,3.39,147,7.2,5346.0
69,1957,BEST PICTURE,False,12 Angry Men,Drama,4.24,96,8.9,584744.0
70,1957,BEST PICTURE,False,Witness for the Prosecution,Drama|Mystery|Thriller,4.08,116,8.4,89880.0
71,1958,BEST PICTURE,False,Auntie Mame,Comedy|Drama,3.89,143,8.0,9405.0
72,1958,BEST PICTURE,False,Cat on a Hot Tin Roof,Drama,3.93,108,8.1,39943.0
73,1958,BEST PICTURE,False,The Defiant Ones,,,96,7.7,11772.0
74,1958,BEST PICTURE,True,Gigi,Musical,3.6,115,6.8,17608.0
75,1958,BEST PICTURE,False,Separate Tables,Drama,3.7,100,7.5,5907.0
76,1959,BEST PICTURE,False,Anatomy of a Murder,Drama|Mystery,4.02,160,8.0,53536.0
77,1959,BEST PICTURE,True,Ben-Hur,Action|Adventure|Drama,3.8,212,8.1,199622.0
78,1959,BEST PICTURE,False,The Diary of Anne Frank,Drama|War,3.7,180,7.4,10952.0
79,1959,BEST PICTURE,False,The Nun's Story,,,149,7.6,8422.0
80,1959,BEST PICTURE,False,Room at the Top,Drama,3.81,117,7.6,4434.0
81,1960,BEST PICTURE,False,The Alamo,,,162,6.9,13013.0
82,1960,BEST PICTURE,True,The Apartment,,,125,8.3,141371.0
83,1960,BEST PICTURE,False,Elmer Gantry,Drama,3.87,146,7.8,9190.0
84,1960,BEST PICTURE,False,Sons and Lovers,Drama,3.08,103,7.3,1147.0
85,1960,BEST PICTURE,False,The Sundowners,,,133,7.2,3405.0
86,1961,BEST PICTURE,False,Fanny,Drama|Romance,3.32,134,7.0,1747.0
87,1961,BEST PICTURE,False,The Guns of Navarone,,,158,7.6,41652.0
88,1961,BEST PICTURE,False,The Hustler,,,134,8.0,70153.0
89,1961,BEST PICTURE,False,Judgment at Nuremberg,Drama,3.96,186,8.2,61051.0
90,1961,BEST PICTURE,True,West Side Story,Drama|Musical|Romance,3.72,153,7.6,86813.0
91,1962,BEST PICTURE,True,Lawrence of Arabia,Adventure|Drama|War,4.11,216,8.3,238938.0
92,1962,BEST PICTURE,False,The Longest Day,,,178,7.8,48624.0
93,1962,BEST PICTURE,False,Meredith Willson's The Music Man,,,,,
94,1962,BEST PICTURE,False,Mutiny on the Bounty,Adventure|Drama|Romance,3.57,178,7.3,13479.0
95,1962,BEST PICTURE,False,To Kill a Mockingbird,Drama,4.15,129,8.3,268613.0
96,1963,BEST PICTURE,False,America America,,,174,7.8,4300.0
97,1963,BEST PICTURE,False,Cleopatra,Drama|Romance,3.44,192,7.0,26208.0
98,1963,BEST PICTURE,False,How the West Was Won,,,,,
99,1963,BEST PICTURE,False,Lilies of the Field,Drama,3.94,94,7.6,7895.0
100,1963,BEST PICTURE,True,Tom Jones,Adventure|Comedy|Romance,3.77,128,6.6,10311.0
101,1964,BEST PICTURE,False,Becket,Drama,3.91,148,8.0,12568.0
102,1964,BEST PICTURE,False,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy|War,4.21,95,8.4,410460.0
103,1964,BEST PICTURE,False,Mary Poppins,Children|Comedy|Fantasy|Musical,3.72,139,7.8,140319.0
104,1964,BEST PICTURE,True,My Fair Lady,Comedy|Drama|Musical|Romance,3.87,170,7.9,79112.0
105,1964,BEST PICTURE,False,Zorba the Greek,,,142,7.7,18528.0
106,1965,BEST PICTURE,False,Darling,Drama,3.42,128,7.2,5188.0
107,1965,BEST PICTURE,False,Doctor Zhivago,Drama|Romance|War,3.92,197,8.0,63997.0
108,1965,BEST PICTURE,False,Ship of Fools,Drama,3.5,149,7.2,4629.0
109,1965,BEST PICTURE,True,The Sound of Music,,,172,8.0,180961.0
110,1965,BEST PICTURE,False,A Thousand Clowns,,,118,7.5,2959.0
111,1966,BEST PICTURE,False,Alfie,Comedy|Drama|Romance,3.6,114,7.1,12307.0
112,1966,BEST PICTURE,True,A Man for All Seasons,,,120,7.8,27943.0
113,1966,BEST PICTURE,False,The Russians Are Coming The Russians Are Coming,,,,,
114,1966,BEST PICTURE,False,The Sand Pebbles,,,182,7.7,12077.0
115,1966,BEST PICTURE,False,Who's Afraid of Virginia Woolf?,Drama,4.03,131,8.0,63471.0
116,1967,BEST PICTURE,False,Bonnie and Clyde,Crime|Drama,3.85,111,7.9,93040.0
117,1967,BEST PICTURE,False,Doctor Dolittle,Adventure|Children|Musical,3.0,152,6.2,7524.0
118,1967,BEST PICTURE,False,The Graduate,,,106,8.0,236312.0
119,1967,BEST PICTURE,False,Guess Who's Coming to Dinner,Drama,3.84,108,7.8,34823.0
120,1967,BEST PICTURE,True,In the Heat of the Night,Drama|Mystery,4.05,110,8.0,59775.0
121,1968,BEST PICTURE,False,Funny Girl,Drama|Musical|Romance,3.56,151,7.6,16500.0
122,1968,BEST PICTURE,False,The Lion in Winter,,,134,8.1,26724.0
123,1968,BEST PICTURE,True,Oliver!,Drama|Musical,3.64,153,7.5,31159.0
124,1968,BEST PICTURE,False,"Rachel, Rachel",Drama|Romance,3.62,101,7.4,2660.0
125,1968,BEST PICTURE,False,Romeo and Juliet,Drama|Romance,3.61,138,7.6,26971.0
126,1969,BEST PICTURE,False,Anne of the Thousand Days,Drama,3.77,145,7.5,6115.0
127,1969,BEST PICTURE,False,Butch Cassidy and the Sundance Kid,Action|Western,4.03,110,8.1,185605.0
128,1969,BEST PICTURE,False,"Hello, Dolly!",Comedy|Musical|Romance,3.37,146,7.2,11968.0
129,1969,BEST PICTURE,True,Midnight Cowboy,Drama,3.96,113,7.9,89499.0
130,1969,BEST PICTURE,False,Z,Drama|Mystery|Thriller,4.02,127,8.2,21110.0
131,1970,BEST PICTURE,False,Airport,Drama,3.05,137,6.6,15773.0
132,1970,BEST PICTURE,False,Five Easy Pieces,Drama,3.9,98,7.5,29826.0
133,1970,BEST PICTURE,False,Love Story,Drama|Romance,3.21,100,6.9,26871.0
134,1970,BEST PICTURE,False,M*A*S*H,,,,,
135,1970,BEST PICTURE,True,Patton,Drama|War,4.0,172,8.0,87450.0
136,1971,BEST PICTURE,False,A Clockwork Orange,,,136,8.3,680938.0
137,1971,BEST PICTURE,False,Fiddler on the Roof,Drama|Musical,3.89,181,8.0,34806.0
138,1971,BEST PICTURE,True,The French Connection,,,104,7.8,98575.0
139,1971,BEST PICTURE,False,The Last Picture Show,,,118,8.1,37429.0
140,1971,BEST PICTURE,False,Nicholas and Alexandra,Drama|War,3.43,183,7.3,3967.0
141,1972,BEST PICTURE,False,Cabaret,Drama|Musical,3.86,124,7.8,42949.0
142,1972,BEST PICTURE,False,Deliverance,Adventure|Drama|Thriller,3.77,109,7.7,90274.0
143,1972,BEST PICTURE,False,The Emigrants,,,,,
144,1972,BEST PICTURE,True,The Godfather,,,175,9.2,1420779.0
145,1972,BEST PICTURE,False,Sounder,Drama,3.76,105,7.6,3128.0
146,1973,BEST PICTURE,False,American Graffiti,Comedy|Drama,3.75,110,7.5,74033.0
147,1973,BEST PICTURE,False,Cries and Whispers,,,,,
148,1973,BEST PICTURE,False,The Exorcist,,,122,8.0,329151.0
149,1973,BEST PICTURE,True,The Sting,,,129,8.3,216858.0
150,1973,BEST PICTURE,False,A Touch of Class,,,106,6.5,2469.0
151,1974,BEST PICTURE,False,Chinatown,Crime|Film-Noir|Mystery|Thriller,4.15,130,8.2,263490.0
152,1974,BEST PICTURE,False,The Conversation,,,113,7.9,86745.0
153,1974,BEST PICTURE,True,The Godfather Part II,,,,,
154,1974,BEST PICTURE,False,Lenny,Drama,3.77,111,7.6,12929.0
155,1974,BEST PICTURE,False,The Towering Inferno,,,165,6.9,35462.0
156,1975,BEST PICTURE,False,Barry Lyndon,Drama|Romance|War,3.83,185,8.1,130762.0
157,1975,BEST PICTURE,False,Dog Day Afternoon,Crime|Drama,3.96,125,8.0,216415.0
158,1975,BEST PICTURE,False,Jaws,Action|Horror,3.78,124,8.0,505104.0
159,1975,BEST PICTURE,False,Nashville,Drama|Musical,3.89,160,7.8,20856.0
160,1975,BEST PICTURE,True,One Flew over the Cuckoo's Nest,,,,,
161,1976,BEST PICTURE,False,All the President's Men,Drama|Thriller,4.03,138,8.0,91053.0
162,1976,BEST PICTURE,False,Bound for Glory,Drama,3.6,147,7.3,4281.0
163,1976,BEST PICTURE,False,Network,Comedy|Drama,4.01,121,8.1,129862.0
164,1976,BEST PICTURE,True,Rocky,Drama,3.73,120,8.1,467667.0
165,1976,BEST PICTURE,False,Taxi Driver,Crime|Drama|Thriller,4.09,114,8.3,628621.0
166,1977,BEST PICTURE,True,Annie Hall,Comedy|Romance,4.04,93,8.0,235094.0
167,1977,BEST PICTURE,False,The Goodbye Girl,,,111,7.4,11303.0
168,1977,BEST PICTURE,False,Julia,Drama,3.59,117,7.3,8006.0
169,1977,BEST PICTURE,False,Star Wars,,,,,
170,1977,BEST PICTURE,False,The Turning Point,,,119,6.9,3869.0
171,1978,BEST PICTURE,False,Coming Home,Drama|War,3.68,127,7.3,11126.0
172,1978,BEST PICTURE,True,The Deer Hunter,,,183,8.1,282003.0
173,1978,BEST PICTURE,False,Heaven Can Wait,Comedy,3.54,101,6.9,16762.0
174,1978,BEST PICTURE,False,Midnight Express,Drama,3.89,121,7.6,64924.0
175,1978,BEST PICTURE,False,An Unmarried Woman,,,124,7.2,4096.0
176,1979,BEST PICTURE,False,All That Jazz,Drama|Fantasy|Musical,3.75,123,7.8,23786.0
177,1979,BEST PICTURE,False,Apocalypse Now,Action|Drama|War,4.11,147,8.5,541750.0
178,1979,BEST PICTURE,False,Breaking Away,Comedy|Drama,4.0,101,7.7,19908.0
179,1979,BEST PICTURE,True,Kramer vs. Kramer,Drama,3.73,105,7.8,117293.0
180,1979,BEST PICTURE,False,Norma Rae,Drama,3.67,114,7.4,9281.0
181,1980,BEST PICTURE,False,Coal Miner's Daughter,Drama,3.66,124,7.5,15093.0
182,1980,BEST PICTURE,False,The Elephant Man,,,124,8.2,198567.0
183,1980,BEST PICTURE,True,Ordinary People,Drama,3.88,124,7.8,41848.0
184,1980,BEST PICTURE,False,Raging Bull,Drama,4.05,129,8.2,284615.0
185,1980,BEST PICTURE,False,Tess,,,,,
186,1981,BEST PICTURE,False,Atlantic City,,,,,
187,1981,BEST PICTURE,True,Chariots of Fire,Drama,3.69,125,7.2,48905.0
188,1981,BEST PICTURE,False,On Golden Pond,Drama,3.69,109,7.7,25221.0
189,1981,BEST PICTURE,False,Raiders of the Lost Ark,,,,,
190,1981,BEST PICTURE,False,Reds,Drama|Romance,3.51,195,7.4,18978.0
191,1982,BEST PICTURE,False,E.T. The Extra-Terrestrial,,,,,
192,1982,BEST PICTURE,True,Gandhi,Drama,3.97,191,8.1,205731.0
193,1982,BEST PICTURE,False,Missing,Drama|Mystery|Thriller,3.79,122,7.8,16462.0
194,1982,BEST PICTURE,False,Tootsie,Comedy|Romance,3.62,116,7.4,88680.0
195,1982,BEST PICTURE,False,The Verdict,,,129,7.8,31960.0
196,1983,BEST PICTURE,False,The Big Chill,,,105,7.2,29855.0
197,1983,BEST PICTURE,False,The Dresser,,,118,7.7,4303.0
198,1983,BEST PICTURE,False,The Right Stuff,,,193,7.9,51724.0
199,1983,BEST PICTURE,False,Tender Mercies,Drama|Romance|Western,3.95,92,7.4,8419.0
200,1983,BEST PICTURE,True,Terms of Endearment,Comedy|Drama,3.63,132,7.4,48993.0
201,1984,BEST PICTURE,True,Amadeus,Drama,4.06,160,8.3,332732.0
202,1984,BEST PICTURE,True,Amadeus,Drama,4.06,125,7.7,31.0
203,1984,BEST PICTURE,False,The Killing Fields,,,141,7.9,47283.0
204,1984,BEST PICTURE,False,A Passage to India,,,164,7.4,15470.0
205,1984,BEST PICTURE,False,Places in the Heart,Drama,3.75,111,7.4,9303.0
206,1984,BEST PICTURE,False,A Soldier's Story,,,101,7.2,8012.0
207,1985,BEST PICTURE,False,The Color Purple,,,154,7.8,70945.0
208,1985,BEST PICTURE,False,Kiss of the Spider Woman,Drama,3.78,120,7.4,12857.0
209,1985,BEST PICTURE,True,Out of Africa,Drama|Romance,3.64,161,7.2,63934.0
210,1985,BEST PICTURE,False,Prizzi's Honor,Comedy|Drama|Romance,3.58,130,6.8,20986.0
