,year,category,winner,title,genres,MovieLensrating,runtimeMinutes,IMDBRating,imdb_numVotes,RottenCriticRating,rottencritic_numVotes,RottenRating,rotten_numVotes
209,1986,BEST PICTURE,FALSE,Hannah and Her Sisters,Comedy|Drama|Romance,3.92,107,7.9,61296,91,56,90,31017
210,1986,BEST PICTURE,FALSE,The Mission,Adventure|Drama|History,3.36,125,7.5,51281,63,24,87,38835
211,1986,BEST PICTURE,TRUE,Platoon,Drama|War,3.9,120,8.1,348537,88,65,93,239618
212,1986,BEST PICTURE,FALSE,A Room with a View,Drama|Romance,3.71,117,7.4,35583,100,30,85,25400
213,1987,BEST PICTURE,FALSE,Broadcast News,Comedy|Drama|Romance,3.68,133,7.2,24558,98,47,78,10930
214,1987,BEST PICTURE,FALSE,Fatal Attraction,Drama|Thriller,3.43,119,6.9,66624,78,46,71,52927
215,1987,BEST PICTURE,FALSE,Hope and Glory,Drama,3.89,113,7.4,11318,95,19,83,5778
216,1987,BEST PICTURE,TRUE,The Last Emperor,Biography|Drama|History,3.45,163,7.8,84367,91,65,88,39805
217,1987,BEST PICTURE,FALSE,Moonstruck,Comedy|Romance,3.63,102,7.1,43303,93,56,80,44700
218,1988,BEST PICTURE,FALSE,The Accidental Tourist,Drama|Romance,3.5,121,6.8,13797,80,30,60,6193
219,1988,BEST PICTURE,FALSE,Dangerous Liaisons,Drama|Romance,3.86,119,7.6,59587,93,29,83,46509
220,1988,BEST PICTURE,FALSE,Mississippi Burning,Crime|Drama|Thriller,3.85,128,7.8,78175,86,21,90,39349
221,1988,BEST PICTURE,TRUE,Rain Man,Drama,3.91,133,8,438239,89,76,90,313840
222,1988,BEST PICTURE,FALSE,Working Girl,Comedy|Drama|Romance,3.35,113,6.8,47461,85,39,67,33545
223,1989,BEST PICTURE,FALSE,Born on the Fourth of July,Drama|War,3.44,145,7.2,89281,88,43,76,59286
224,1989,BEST PICTURE,FALSE,Dead Poets Society,Drama,3.92,128,8.1,363716,84,57,92,306778
225,1989,BEST PICTURE,TRUE,Driving Miss Daisy,Drama,3.68,99,7.4,88262,82,61,81,53602
226,1989,BEST PICTURE,FALSE,Field of Dreams,Children|Drama|Fantasy,3.62,107,7.5,99100,86,58,86,192781
227,1989,BEST PICTURE,FALSE,My Left Foot,Drama,3.88,103,7.9,60454,97,35,92,26704
228,1990,BEST PICTURE,FALSE,Awakenings,Drama|Mystery,3.76,121,7.8,111114,88,33,89,55031
229,1990,BEST PICTURE,TRUE,Dances With Wolves,Adventure|Drama|Western,4.25,181,8,218870,82,74,87,213480
230,1990,BEST PICTURE,FALSE,Ghost,Comedy|Drama|Fantasy|Romance|Thriller,3.44,127,7,177508,74,66,80,469421
231,1990,BEST PICTURE,FALSE,"The Godfather, Part III",Crime|Drama,3.7,162,7.6,323557,68,59,78,305543
232,1990,BEST PICTURE,FALSE,Good Fellas,Biography|Crime|Drama,4.11,146,8.7,894319,96,92,97,428539
233,1991,BEST PICTURE,FALSE,Beauty and the Beast,Animation|Children|Fantasy|Musical|Romance|IMAX,3.68,84,8,384970,94,113,92,759753
234,1991,BEST PICTURE,FALSE,Bugsy,Crime|Drama,3.23,136,6.8,23615,85,59,69,10180
235,1991,BEST PICTURE,FALSE,JFK,Drama|Mystery|Thriller,3.65,189,8,130011,83,60,88,62496
236,1991,BEST PICTURE,FALSE,The Prince of Tides,Drama|Romance,3.36,132,6.7,14560,68,31,70,9215
237,1991,BEST PICTURE,TRUE,The Silence of the Lambs,Crime|Drama|Thriller,4.39,118,8.6,1117469,96,91,95,846168
238,1992,BEST PICTURE,FALSE,The Crying Game,Crime|Drama|Romance,3.13,112,7.3,47076,94,66,78,31785
239,1992,BEST PICTURE,FALSE,A Few Good Men,Drama|Thriller,3.37,138,7.7,212882,82,62,89,325214
240,1992,BEST PICTURE,FALSE,Howards End,Drama,3.76,142,7.5,25637,94,63,82,13633
241,1992,BEST PICTURE,FALSE,Scent of a Woman,Drama,3.77,156,8,230482,88,42,92,119055
242,1992,BEST PICTURE,TRUE,Unforgiven,Drama|Western,3.99,130,8.2,337196,96,98,93,122466
243,1993,BEST PICTURE,FALSE,The Fugitive,Action|Crime|Drama,3.52,130,7.8,243321,96,74,89,267504
244,1993,BEST PICTURE,FALSE,In the Name of the Father,Drama,3.9,133,8.1,139999,94,50,95,41239
245,1993,BEST PICTURE,FALSE,The Piano,Drama|Musical|Romance,3.27,121,7.6,72606,92,60,86,48539
246,1993,BEST PICTURE,FALSE,The Remains of the Day,Drama|Romance,3.46,134,7.9,57003,95,40,89,24259
247,1993,BEST PICTURE,TRUE,Schindler's List,Drama|War,4.26,195,8.9,1073070,97,95,97,410783
248,1994,BEST PICTURE,TRUE,Forrest Gump,Comedy|Drama|Romance|War,4.06,142,8.8,1587235,72,95,95,1244117
249,1994,BEST PICTURE,FALSE,Four Weddings and a Funeral,Comedy|Romance,3.64,117,7.1,125437,96,67,74,184884
250,1994,BEST PICTURE,FALSE,Pulp Fiction,Comedy|Crime|Drama|Thriller,4.17,154,8.9,1619279,93,86,96,1125719
251,1994,BEST PICTURE,FALSE,Quiz Show,Drama,3.66,133,7.5,60429,96,55,87,31532
252,1994,BEST PICTURE,FALSE,The Shawshank Redemption,Drama,4.72,142,9.3,2070726,91,67,98,884998
253,1995,BEST PICTURE,FALSE,Apollo 13,Adventure|Drama|IMAX,3.88,140,7.6,243696,95,86,87,432618
254,1995,BEST PICTURE,FALSE,Babe,Children|Drama,3.61,91,6.8,108212,97,70,67,508666
255,1995,BEST PICTURE,TRUE,Braveheart,Action|Drama|War,4.01,178,8.4,882924,77,75,85,32708421
256,1995,BEST PICTURE,FALSE,Sense and Sensibility,Drama|Romance,3.95,136,7.7,91300,98,59,90,130747
257,1996,BEST PICTURE,TRUE,The English Patient,Drama|Romance|War,3.15,162,7.4,164906,84,85,83,81601
258,1996,BEST PICTURE,FALSE,Fargo,Comedy|Crime|Drama|Thriller,4.11,98,8.1,556451,93,91,93,233620
259,1996,BEST PICTURE,FALSE,Jerry Maguire,Drama|Romance,3.6,139,7.3,220761,83,82,79,442253
260,1996,BEST PICTURE,FALSE,Secrets & Lies,Drama,4.04,136,8,33459,95,37,91,11256
261,1996,BEST PICTURE,FALSE,Shine,Drama|Romance,3.85,105,7.7,48359,91,44,90,30841
262,1997,BEST PICTURE,FALSE,As Good as It Gets,Comedy|Drama|Romance,3.78,139,7.7,252380,85,78,86,378422
263,1997,BEST PICTURE,FALSE,The Full Monty,Comedy|Drama,3.68,91,7.2,92111,96,47,79,180069
264,1997,BEST PICTURE,FALSE,Good Will Hunting,Drama|Romance,4.08,126,8.3,757104,97,74,94,364217
265,1997,BEST PICTURE,FALSE,L.A. Confidential,Crime|Film-Noir|Mystery|Thriller,4.06,138,8.3,488883,99,104,94,150494
266,1997,BEST PICTURE,TRUE,Titanic,Drama|Romance,3.41,194,7.8,945422,89,187,69,35797635
267,1998,BEST PICTURE,FALSE,Elizabeth,Drama,3.85,124,7.5,85280,82,61,86,63369
268,1998,BEST PICTURE,FALSE,Life Is Beautiful,Comedy|Drama|Romance,4.3,116,8.6,544781,80,87,96,249105
269,1998,BEST PICTURE,FALSE,Saving Private Ryan,Action|Drama|War,4.05,169,8.6,1095063,93,138,95,992508
270,1998,BEST PICTURE,TRUE,Shakespeare in Love,Comedy|Drama|Romance,3.8,123,7.1,199971,92,138,80,226875
271,1998,BEST PICTURE,FALSE,The Thin Red Line,Drama|War,3.33,170,7.6,159479,79,97,80,148972
272,1999,BEST PICTURE,TRUE,American Beauty,Drama|Romance,4.12,122,8.4,981140,88,184,93,660098
273,1999,BEST PICTURE,FALSE,The Cider House Rules,Drama|Romance,3.2,126,7.4,87776,71,112,77,53432
274,1999,BEST PICTURE,FALSE,The Green Mile,Crime|Drama|Fantasy,4.3,189,8.6,999651,79,133,94,813220
275,1999,BEST PICTURE,FALSE,The Insider,Biography|Drama|Thriller,3.65,157,7.9,148817,96,135,90,59122
276,1999,BEST PICTURE,FALSE,The Sixth Sense,Drama|Mystery|Thriller,4.18,107,8.1,836639,86,152,90,1036624
277,2000,BEST PICTURE,FALSE,Chocolat,Drama|Romance,3.68,121,7.3,167453,62,117,83,328835
278,2000,BEST PICTURE,FALSE,"Crouching Tiger, Hidden Dragon",Action|Adventure|Fantasy,3.54,120,7.9,238676,97,153,86,427169
279,2000,BEST PICTURE,FALSE,Erin Brockovich,Drama,3.58,131,7.3,157701,84,145,81,418491
280,2000,BEST PICTURE,TRUE,Gladiator,Action|Adventure|Drama,3.96,155,8.5,1197072,76,194,87,34128074
281,2000,BEST PICTURE,FALSE,Traffic,Crime|Drama|Thriller,3.8,147,7.6,185430,92,158,85,190305
282,2001,BEST PICTURE,TRUE,A Beautiful Mind,Biography|Drama,4.24,135,8.2,762773,74,211,93,490636
283,2001,BEST PICTURE,FALSE,Gosford Park,Comedy|Drama|Mystery,3.61,131,7.3,72932,86,158,78,48385
284,2001,BEST PICTURE,FALSE,In the Bedroom,Drama,3.68,130,7.4,35201,93,138,81,20102
285,2001,BEST PICTURE,FALSE,The Lord of the Rings: The Fellowship of the Ring,Adventure|Drama|Fantasy,4.65,178,8.8,1490778,91,228,95,1355751
286,2001,BEST PICTURE,FALSE,Moulin Rouge,Drama|Musical|Romance,3.53,127,7.6,250630,76,198,89,505054
287,2002,BEST PICTURE,TRUE,Chicago,Comedy|Crime|Drama|Musical,3.53,113,7.2,199618,85,255,83,439374
288,2002,BEST PICTURE,FALSE,Gangs of New York,Crime|Drama,3.52,167,7.5,368639,74,209,81,293941
289,2002,BEST PICTURE,FALSE,The Hours,Drama|Romance,3.37,110,7.6,115934,80,192,84,85869
290,2002,BEST PICTURE,FALSE,The Lord of the Rings: The Two Towers,Adventure|Drama|Fantasy,4.09,179,8.7,1333248,95,250,95,1341428
291,2002,BEST PICTURE,FALSE,The Pianist,Biography|Drama|Music,4.4,150,8.5,632843,95,181,95,252767
292,2003,BEST PICTURE,TRUE,The Lord of the Rings: The Return of the King,Adventure|Drama|Fantasy,4.47,201,8.9,1474187,93,272,86,34679279
293,2003,BEST PICTURE,FALSE,Lost in Translation,Comedy|Drama|Romance,3.79,102,7.8,371460,95,228,85,336746
294,2003,BEST PICTURE,FALSE,Master and Commander: The Far Side of the World,Adventure|Drama|War,3.63,138,7.4,188323,85,213,80,140945
295,2003,BEST PICTURE,FALSE,Mystic River,Crime|Drama|Mystery,3.83,138,8,385990,88,204,89,203255
296,2003,BEST PICTURE,FALSE,Seabiscuit,Drama,3.59,140,7.3,62908,77,202,76,118363
297,2004,BEST PICTURE,FALSE,The Aviator,Biography|Drama,3.25,170,7.5,305434,86,221,79,207305
298,2004,BEST PICTURE,FALSE,Finding Neverland,Drama,3.71,106,7.7,190256,82,204,87,465312
299,2004,BEST PICTURE,TRUE,Million Dollar Baby,Drama,3.83,132,8.1,581476,91,267,90,404726
300,2004,BEST PICTURE,FALSE,Ray,Drama,3.79,152,7.7,126766,80,201,87,214440
301,2004,BEST PICTURE,FALSE,Sideways,Comedy|Drama|Romance,3.66,127,7.5,168833,96,227,78,197574
302,2005,BEST PICTURE,FALSE,Brokeback Mountain,Drama|Romance,3.6,134,7.7,297198,87,240,82,519664
303,2005,BEST PICTURE,FALSE,Capote,Crime|Drama,3.7,114,7.4,116264,90,192,81,115868
304,2005,BEST PICTURE,TRUE,Crash,Crime|Drama|Thriller,3.83,112,7.8,398984,74,236,88,442164
305,2005,BEST PICTURE,FALSE,"Good Night, and Good Luck.",Crime|Drama,3.79,93,7.5,89670,93,221,83,142659
306,2005,BEST PICTURE,FALSE,Munich,Action|Crime|Drama|Thriller,3.72,164,7.6,197636,78,203,83,330089
307,2006,BEST PICTURE,FALSE,Babel,Drama|Thriller,3.64,143,7.5,271955,69,198,77,377200
308,2006,BEST PICTURE,TRUE,The Departed,Crime|Drama|Thriller,4.21,151,8.5,1063095,91,276,94,737007
309,2006,BEST PICTURE,FALSE,Letters from Iwo Jima,Drama|War,3.82,141,7.9,145707,91,200,86,340993
310,2006,BEST PICTURE,FALSE,Little Miss Sunshine,Adventure|Comedy|Drama,3.87,101,7.8,406825,91,212,91,426898
311,2006,BEST PICTURE,FALSE,The Queen,Drama,3.71,103,7.3,97284,97,195,76,175564
312,2007,BEST PICTURE,FALSE,Atonement,Drama|Romance|War,3.74,123,7.8,226718,83,213,80,227025
313,2007,BEST PICTURE,FALSE,Juno,Comedy|Drama|Romance,3.75,96,7.5,463288,94,210,88,549270
314,2007,BEST PICTURE,FALSE,Michael Clayton,Drama|Thriller,3.72,119,7.3,148135,90,198,69,299898
315,2007,BEST PICTURE,TRUE,No Country for Old Men,Crime|Drama,4.01,122,8.1,758991,93,280,86,398270
316,2007,BEST PICTURE,FALSE,There Will Be Blood,Drama|Western,3.97,158,8.2,458895,91,226,86,254737
317,2008,BEST PICTURE,FALSE,The Curious Case of Benjamin Button,Drama|Fantasy|Romance,3.35,166,7.8,534801,71,246,80,690453
318,2008,BEST PICTURE,FALSE,Frost/Nixon,Drama,3.77,122,7.7,96675,93,254,88,109789
319,2008,BEST PICTURE,FALSE,Milk,Drama,3.75,128,7.6,154879,93,238,89,177926
320,2008,BEST PICTURE,FALSE,Milk,Drama,3.75,102,6.7,2583,93,238,89,177926
321,2008,BEST PICTURE,FALSE,The Reader,Drama|Romance,3.21,124,7.6,216679,63,198,79,206829
322,2008,BEST PICTURE,TRUE,Slumdog Millionaire,Crime|Drama|Romance,3.85,120,8,741778,91,279,90,1155578
323,2009,BEST PICTURE,FALSE,Avatar,Action|Adventure|Sci-Fi|IMAX,3.65,162,7.8,1033804,82,305,82,1382107
324,2009,BEST PICTURE,FALSE,The Blind Side,Biography|Drama|Sport,3.61,129,7.7,264785,66,200,85,431674
325,2009,BEST PICTURE,FALSE,District 9,Mystery|Sci-Fi|Thriller,3.81,112,7.9,600315,90,308,82,1178268
326,2009,BEST PICTURE,FALSE,An Education,Drama,3.07,100,7.3,122655,95,189,80,54914
327,2009,BEST PICTURE,TRUE,The Hurt Locker,Drama|Thriller|War,3.08,131,7.6,389413,97,279,84,95887
328,2009,BEST PICTURE,FALSE,Inglourious Basterds,Action|Drama|War,4,153,8.3,1104975,88,317,87,774649
329,2009,BEST PICTURE,FALSE,Precious: Based on the Novel 'Push' by Sapphire,Drama,3.1,110,7.3,99551,91,230,81,141146
330,2009,BEST PICTURE,FALSE,A Serious Man,Comedy|Drama,3.2,106,7.1,120698,89,215,68,63010
331,2009,BEST PICTURE,FALSE,Up,Adventure|Animation|Children|Drama,3.97,96,8.2,834205,98,290,90,1203115
332,2009,BEST PICTURE,FALSE,Up in the Air,Drama|Romance,3.7,109,7.4,299333,91,278,79,228370
333,2010,BEST PICTURE,FALSE,Black Swan,Drama|Thriller,3.79,108,8,643344,85,297,84,177606
334,2010,BEST PICTURE,FALSE,The Fighter,Biography|Drama|Sport,3.52,116,7.8,314452,90,241,89,121259
335,2010,BEST PICTURE,FALSE,Inception,Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,4.16,148,8.8,1815438,86,347,91,569017
336,2010,BEST PICTURE,FALSE,The Kids Are All Right,Comedy|Drama|Romance,3.62,106,7,120209,93,220,73,63538
337,2010,BEST PICTURE,TRUE,The King's Speech,Biography|Drama|History,4.07,118,8,588876,94,289,92,144233
338,2010,BEST PICTURE,FALSE,127 Hours,Adventure|Drama|Thriller,3.63,94,7.6,321073,93,229,85,95691
339,2010,BEST PICTURE,FALSE,The Social Network,Biography|Drama,3.6,120,7.7,564394,95,309,86,203382
340,2010,BEST PICTURE,FALSE,Toy Story 3,Adventure|Animation|Children|Comedy|Fantasy|IMAX,3.87,103,8.3,672603,98,300,89,606534
341,2010,BEST PICTURE,FALSE,True Grit,Western,3.8,110,7.6,281676,96,270,85,157892
342,2010,BEST PICTURE,FALSE,Winter's Bone,Drama|Thriller,3.69,100,7.2,127048,94,167,76,51617
343,2011,BEST PICTURE,TRUE,The Artist,Comedy|Drama|Romance,3.75,100,7.9,216121,95,307,87,58427
344,2011,BEST PICTURE,FALSE,The Descendants,Comedy|Drama,3.15,115,7.3,222664,89,254,79,69884
345,2011,BEST PICTURE,FALSE,Extremely Loud & Incredibly Close,Adventure|Drama|Mystery,3.18,129,6.9,92715,46,184,61,79894
346,2011,BEST PICTURE,FALSE,The Help,Drama,4.09,146,8.1,389087,76,221,89,107585
347,2011,BEST PICTURE,FALSE,Hugo,Children|Drama|Mystery,3.54,126,7.5,283131,93,220,78,82598
348,2011,BEST PICTURE,FALSE,Midnight in Paris,Comedy|Fantasy|Romance,3.79,94,7.7,353610,93,217,83,82219
349,2011,BEST PICTURE,FALSE,Moneyball,Drama,3.86,133,7.6,323648,94,255,86,91369
350,2011,BEST PICTURE,FALSE,The Tree of Life,Drama|Fantasy,3.5,139,6.8,155360,85,272,60,60707
351,2011,BEST PICTURE,FALSE,War Horse,Drama|War,3.39,146,7.2,135219,76,231,74,69575
352,2012,BEST PICTURE,FALSE,Amour,Drama|Romance,3.81,127,7.9,84339,93,216,82,20833
353,2012,BEST PICTURE,TRUE,Argo,Drama|Thriller,3.78,120,7.7,530880,96,343,90,208301
354,2012,BEST PICTURE,FALSE,Beasts of the Southern Wild,Drama|Fantasy,3.65,93,7.3,77134,87,200,76,39281
355,2012,BEST PICTURE,FALSE,Django Unchained,Action|Drama|Western,4,165,8.4,1194849,86,277,91,427878
356,2012,BEST PICTURE,FALSE,Les Miserables,Drama|History|Romance,3.36,158,7.6,283626,69,245,79,264971
357,2012,BEST PICTURE,FALSE,Life of Pi,Adventure|Drama|IMAX,3.7,127,7.9,529919,86,243,84,168928
358,2012,BEST PICTURE,FALSE,Lincoln,Drama|War,3.63,150,7.4,227225,89,274,80,245639
359,2012,BEST PICTURE,FALSE,Silver Linings Playbook,Comedy|Drama,3.73,122,7.7,617297,92,246,86,260061
360,2012,BEST PICTURE,FALSE,Zero Dark Thirty,Action|Drama|Thriller,3.71,157,7.4,248850,91,284,80,196910
361,2013,BEST PICTURE,FALSE,American Hustle,Crime|Drama,3.55,138,7.2,415450,92,277,74,175632
362,2013,BEST PICTURE,FALSE,Captain Phillips,Adventure|Drama|Thriller|IMAX,3.8,134,7.8,384246,93,266,89,152202
363,2013,BEST PICTURE,FALSE,Dallas Buyers Club,Drama,3.91,117,8,399190,93,250,91,92404
364,2013,BEST PICTURE,FALSE,Gravity,Action|Sci-Fi|IMAX,3.63,91,7.7,702473,96,338,80,302467
365,2013,BEST PICTURE,FALSE,Her,Drama|Romance|Sci-Fi,3.88,126,8,460550,94,266,82,100604
366,2013,BEST PICTURE,FALSE,Nebraska,Adventure|Drama,3.73,115,7.7,104721,90,242,83,44723
367,2013,BEST PICTURE,FALSE,Philomena,Comedy|Drama,3.75,98,7.6,88225,90,189,89,52342
368,2013,BEST PICTURE,TRUE,12 Years a Slave,Drama,3.88,134,8.1,570967,95,351,90,139823
369,2013,BEST PICTURE,FALSE,The Wolf of Wall Street,Biography|Crime|Drama,4.26,180,8.2,1020561,78,274,82,179858
370,2014,BEST PICTURE,FALSE,American Sniper,Action|War,3.49,133,7.3,398192,72,282,84,153142
371,2014,BEST PICTURE,TRUE,Birdman or,Comedy|Drama,3.41,119,7.7,513031,91,334,77,92549
372,2014,BEST PICTURE,FALSE,Boyhood,Drama,3.81,165,7.9,313703,97,304,80,89399
373,2014,BEST PICTURE,FALSE,The Grand Budapest Hotel,Adventure|Comedy|Crime,4.16,99,8.1,626412,90,290,86,96815
374,2014,BEST PICTURE,FALSE,The Imitation Game,Drama|Thriller|War,4.02,114,8,612589,90,270,91,103452
375,2014,BEST PICTURE,FALSE,Selma,Drama,3.68,128,7.5,77012,99,294,86,61266
376,2014,BEST PICTURE,FALSE,The Theory of Everything,Drama|Romance,3.81,123,7.7,356799,79,257,84,75638
377,2014,BEST PICTURE,FALSE,Whiplash,Drama,4.13,106,8.5,604511,93,285,94,69473
378,2015,BEST PICTURE,FALSE,The Big Short,Biography|Comedy|Drama,3.51,130,7.8,304681,88,310,87,68572
379,2015,BEST PICTURE,FALSE,Bridge of Spies,Drama|Thriller,3.79,142,7.6,260518,91,288,87,65175
380,2015,BEST PICTURE,FALSE,Brooklyn,Drama|Romance,3.78,117,7.5,115811,97,261,87,46610
381,2015,BEST PICTURE,FALSE,Mad Max: Fury Road,Action|Adventure|Sci-Fi|Thriller,3.83,120,8.1,769890,97,400,85,126946
382,2015,BEST PICTURE,FALSE,The Martian,Adventure|Drama|Sci-Fi,4.04,144,8,669824,91,353,91,130876
383,2015,BEST PICTURE,FALSE,The Revenant,Adventure|Drama,3.77,156,8,610889,78,373,84,104588
384,2015,BEST PICTURE,FALSE,Room,Drama,3.98,118,8.2,310530,93,296,93,49138
385,2015,BEST PICTURE,TRUE,Spotlight,Thriller,4.08,129,8.1,359458,97,351,93,69820
386,2016,BEST PICTURE,FALSE,Arrival,Sci-Fi,4.02,116,7.9,505053,94,397,82,82035
387,2016,BEST PICTURE,FALSE,Fences,Drama,3.5,139,7.2,85255,92,249,75,36071
388,2016,BEST PICTURE,FALSE,Hacksaw Ridge,Drama|War,3.86,139,8.1,359456,86,259,91,55001
389,2016,BEST PICTURE,FALSE,Hell or High Water,Crime|Drama,3.88,102,7.6,172935,97,263,88,39499
390,2016,BEST PICTURE,FALSE,Hidden Figures,Drama,4.01,127,7.8,168163,93,294,93,57950
391,2016,BEST PICTURE,FALSE,La La Land,Comedy|Drama|Romance,3.75,128,8,427459,91,421,81,70145
392,2016,BEST PICTURE,FALSE,Lion,Drama,3.92,118,8.1,178525,85,254,91,39435
393,2016,BEST PICTURE,FALSE,Manchester by the Sea,Drama,3.85,137,7.8,211347,96,324,78,49697
394,2016,BEST PICTURE,TRUE,Moonlight,Drama,3.27,111,7.4,223285,98,353,79,44497
395,2017,BEST PICTURE,FALSE,Call Me by Your Name,Drama|Romance,3.82,132,7.9,148874,95,324,86,14580
396,2017,BEST PICTURE,FALSE,Darkest Hour,Drama|War,3.79,125,7.4,133177,84,288,82,13580
397,2017,BEST PICTURE,FALSE,Dunkirk,Action|Drama|Thriller|War,3.8,106,7.9,456396,92,424,81,67133
398,2017,BEST PICTURE,FALSE,Get Out,Horror,3.95,104,7.7,384419,98,347,86,73182
399,2017,BEST PICTURE,FALSE,Lady Bird,Comedy,3.79,94,7.4,172468,99,359,79,21134
400,2017,BEST PICTURE,FALSE,Phantom Thread,Drama|Romance,3.62,130,7.5,83673,91,317,70,7454
401,2017,BEST PICTURE,FALSE,The Post,Drama|Thriller,3.63,116,7.2,105173,88,365,73,11878
402,2017,BEST PICTURE,TRUE,The Shape of Water,Adventure|Drama|Fantasy,3.6,123,7.3,299111,92,403,73,24730
403,2017,BEST PICTURE,FALSE,"Three Billboards Outside Ebbing, Missouri",Crime|Drama,4.01,115,8.2,332659,90,373,86,21942
404,2018,BEST PICTURE,FALSE,Black Panther,Fantasy|Science Fiction,3.66,134,7.3,490200,97,462,79,87455
405,2018,BEST PICTURE,FALSE,BlacKkKlansman,Drama|Crime,3.71,135,7.5,133426,96,391,83,9054
406,2018,BEST PICTURE,FALSE,Bohemian Rhapsody,Drama|Biography,3.79,135,8.1,319377,61,371,86,20705
407,2018,BEST PICTURE,FALSE,The Favourite,Drama|Comedy,3.82,119,7.7,103011,NA,NA,85,127
408,2018,BEST PICTURE,TRUE,Green Book,Drama|Comedy,3.94,130,8.3,170827,78,316,92,7859
409,2018,BEST PICTURE,FALSE,Roma,Drama,3.76,135,7.8,100158,96,353,71,4667
410,2018,BEST PICTURE,FALSE,A Star Is Born,Drama|Romance,3.67,135,7.8,229903,89,472,80,18019
411,2018,BEST PICTURE,FALSE,Vice,Drama|Comedy,3.49,132,7.2,58938,66,326,58,3902