Film,Rater,Year,Win,Genres
Forrest Gump,BAFTA,1994,0,Comedy
Pulp Fiction,BAFTA,1994,0,Comedy
Quiz Show,BAFTA,1994,0,Drama
Babe,BAFTA,1995,0,Children
The Madness of King George,BAFTA,1995,0,
The Usual Suspects,BAFTA,1995,0,
Fargo,BAFTA,1996,0,Comedy
Secrets & Lies,BAFTA,1996,0,Drama
Shine,BAFTA,1996,0,Drama
L.A. Confidential,BAFTA,1997,0,Crime
Mrs Brown,BAFTA,1997,0,
Titanic,BAFTA,1997,0,Drama
Elizabeth,BAFTA,1998,0,Drama
Saving Private Ryan,BAFTA,1998,0,Action
The Truman Show,BAFTA,1998,0,
East is East,BAFTA,1999,0,Comedy
The End of the Affair,BAFTA,1999,0,
The Sixth Sense,BAFTA,1999,0,
The Talented Mr. Ripley,BAFTA,1999,0,
Almost Famous,BAFTA,2000,0,Drama
Billy Elliot,BAFTA,2000,0,Drama
"Crouching Tiger, Hidden Dragon",BAFTA,2000,0,Action
Erin Brockovich,BAFTA,2000,0,Drama
Amélie,BAFTA,2001,0,
A Beautiful Mind,BAFTA,2001,0,
Moulin Rouge!,BAFTA,2001,0,
Shrek,BAFTA,2001,0,Adventure
Chicago,BAFTA,2002,0,Comedy
Gangs of New York,BAFTA,2002,0,Crime
The Hours,BAFTA,2002,0,
The Lord of the Rings: The Two Towers,BAFTA,2002,0,
Big Fish,BAFTA,2003,0,Drama
Cold Mountain,BAFTA,2003,0,Drama
Lost in Translation,BAFTA,2003,0,Comedy
Master and Commander: The Far Side of the World,BAFTA,2003,0,Adventure
Eternal Sunshine of the Spotless Mind,BAFTA,2004,0,Drama
Finding Neverland,BAFTA,2004,0,Drama
The Motorcycle Diaries,BAFTA,2004,0,
Vera Drake,BAFTA,2004,0,Drama
Capote,BAFTA,2005,0,Crime
The Constant Gardener,BAFTA,2005,0,
Crash,BAFTA,2005,0,Drama
"Good Night, and Good Luck",BAFTA,2005,0,
Babel,BAFTA,2006,0,Drama
The Departed,BAFTA,2006,0,
The Last King of Scotland,BAFTA,2006,0,
Little Miss Sunshine,BAFTA,2006,0,Adventure
American Gangster,BAFTA,2007,0,Crime
The Lives of Others,BAFTA,2007,0,
No Country for Old Men,BAFTA,2007,0,Crime
There Will Be Blood,BAFTA,2007,0,Drama
The Curious Case of Benjamin Button,BAFTA,2008,0,
Frost/Nixon,BAFTA,2008,0,Drama
Milk,BAFTA,2008,0,Drama
The Reader,BAFTA,2008,0,Comedy
Avatar,BAFTA,2009,0,Action
An Education,BAFTA,2009,0,
Precious,BAFTA,2009,0,Drama
Up in the Air,BAFTA,2009,0,Drama
Black Swan,BAFTA,2010,0,Drama
Inception,BAFTA,2010,0,Action
The Social Network,BAFTA,2010,0,
True Grit,BAFTA,2010,0,Adventure
The Descendants,BAFTA,2011,0,
Drive,BAFTA,2011,0,Crime
The Help,BAFTA,2011,0,
Tinker Tailor Soldier Spy,BAFTA,2011,0,Drama
Les Misérables,BAFTA,2012,0,(no genres listed)
Life of Pi,BAFTA,2012,0,Adventure
Lincoln,BAFTA,2012,0,Drama
Zero Dark Thirty,BAFTA,2012,0,Action
American Hustle,BAFTA,2013,0,Crime
Captain Phillips,BAFTA,2013,0,Adventure
Gravity,BAFTA,2013,0,Crime
Philomena,BAFTA,2013,0,Comedy
Birdman or (The Unexpected Virtue of Ignorance),BAFTA,2014,0,
The Grand Budapest Hotel,BAFTA,2014,0,
The Imitation Game,BAFTA,2014,0,Drama
The Theory of Everything,BAFTA,2014,0,Drama
The Big Short,BAFTA,2015,0,
Bridge of Spies,BAFTA,2015,0,Drama
Carol,BAFTA,2015,0,Drama
Spotlight,BAFTA,2015,0,Thriller
Arrival,BAFTA,2016,0,Sci-Fi
"I, Daniel Blake",BAFTA,2016,0,Drama
Manchester by the Sea,BAFTA,2016,0,Drama
Moonlight,BAFTA,2016,0,Drama
Call Me by Your Name,BAFTA,2017,0,Drama
Darkest Hour,BAFTA,2017,0,Drama
Dunkirk,BAFTA,2017,0,War
The Shape of Water,BAFTA,2017,0,Adventure
BlacKkKlansman,BAFTA,2018,0,Comedy
The Favourite,BAFTA,2018,0,Drama
Green Book,BAFTA,2018,0,
A Star is Born,BAFTA,2018,0,
Apollo 13,SAG,1995,1,Adventure
The Birdcage,SAG,1996,1,
The Full Monty,SAG,1997,1,
Shakespeare in Love,SAG,1998,1,Comedy
American Beauty,SAG,1999,1,Drama
Traffic,SAG,2000,1,Crime
Gosford Park,SAG,2001,1,Comedy
Chicago,SAG,2002,1,Comedy
The Lord of the Rings: The Return of the King,SAG,2003,1,
Sideways,SAG,2004,1,Comedy
Crash,SAG,2005,1,Drama
Little Miss Sunshine,SAG,2006,1,Adventure
No Country for Old Men,SAG,2007,1,Crime
Slumdog Millionaire,SAG,2008,1,Crime
Inglourious Basterds,SAG,2009,1,Action
The King's Speech,SAG,2010,1,
The Help,SAG,2011,1,
Argo,SAG,2012,1,Drama
American Hustle,SAG,2013,1,Crime
Birdman,SAG,2014,1,
Spotlight,SAG,2015,1,Thriller
Hidden Figures,SAG,2016,1,Drama
"Three Billboards Outside Ebbing, Missouri",SAG,2017,1,Crime
Black Panther,SAG,2018,1,Action
Get Shorty,SAG,1995,0,Comedy
How to Make an American Quilt,SAG,1995,0,Drama
Nixon,SAG,1995,0,Drama
Sense and Sensibility,SAG,1995,0,Drama
The English Patient,SAG,1996,0,
Marvin's Room,SAG,1996,0,Drama
Shine,SAG,1996,0,Drama
Sling Blade,SAG,1996,0,Drama
Boogie Nights,SAG,1997,0,Drama
Good Will Hunting,SAG,1997,0,Drama
L.A. Confidential,SAG,1997,0,Crime
Titanic,SAG,1997,0,Drama
Life Is Beautiful,SAG,1998,0,Comedy
Little Voice,SAG,1998,0,Comedy
Saving Private Ryan,SAG,1998,0,Action
Waking Ned,SAG,1998,0,
Being John Malkovich,SAG,1999,0,Comedy
The Cider House Rules,SAG,1999,0,
The Green Mile,SAG,1999,0,
Magnolia,SAG,1999,0,Drama
Almost Famous,SAG,2000,0,Drama
Billy Elliot,SAG,2000,0,Drama
Chocolat,SAG,2000,0,Drama
Gladiator,SAG,2000,0,Action
A Beautiful Mind,SAG,2001,0,
In the Bedroom,SAG,2001,0,Drama
The Lord of the Rings: The Fellowship of the Ring,SAG,2001,0,
Moulin Rouge!,SAG,2001,0,
Adaptation.,SAG,2002,0,
The Hours,SAG,2002,0,
The Lord of the Rings: The Two Towers,SAG,2002,0,
My Big Fat Greek Wedding,SAG,2002,0,Comedy
In America,SAG,2003,0,Drama
Mystic River,SAG,2003,0,Crime
Seabiscuit,SAG,2003,0,Drama
The Station Agent,SAG,2003,0,
The Aviator,SAG,2004,0,
Finding Neverland,SAG,2004,0,Drama
Hotel Rwanda,SAG,2004,0,Drama
Million Dollar Baby,SAG,2004,0,Drama
Ray,SAG,2004,0,Drama
Brokeback Mountain,SAG,2005,0,Drama
Capote,SAG,2005,0,Crime
"Good Night, and Good Luck",SAG,2005,0,
Hustle & Flow,SAG,2005,0,Crime
Babel,SAG,2006,0,Drama
Bobby,SAG,2006,0,Drama
The Departed,SAG,2006,0,
Dreamgirls,SAG,2006,0,Drama
3:10 to Yuma,SAG,2007,0,Action
American Gangster,SAG,2007,0,Crime
Hairspray,SAG,2007,0,Comedy
Into the Wild,SAG,2007,0,Action
The Curious Case of Benjamin Button,SAG,2008,0,
Doubt,SAG,2008,0,Drama
Frost/Nixon,SAG,2008,0,Drama
Milk,SAG,2008,0,Drama
An Education,SAG,2009,0,
The Hurt Locker,SAG,2009,0,
Nine,SAG,2009,0,Drama
Precious,SAG,2009,0,Drama
Black Swan,SAG,2010,0,Drama
The Fighter,SAG,2010,0,
The Kids Are All Right,SAG,2010,0,
The Social Network,SAG,2010,0,
The Artist,SAG,2011,0,Comedy
Bridesmaids,SAG,2011,0,Comedy
The Descendants,SAG,2011,0,
Midnight in Paris,SAG,2011,0,Comedy
The Best Exotic Marigold Hotel,SAG,2012,0,
Les Misérables,SAG,2012,0,(no genres listed)
Lincoln,SAG,2012,0,Drama
Silver Linings Playbook,SAG,2012,0,Comedy
12 Years a Slave,SAG,2013,0,Drama
August: Osage County,SAG,2013,0,Comedy
The Butler,SAG,2013,0,
Dallas Buyers Club,SAG,2013,0,Drama
Boyhood,SAG,2014,0,Drama
The Grand Budapest Hotel,SAG,2014,0,
The Imitation Game,SAG,2014,0,Drama
The Theory of Everything,SAG,2014,0,Drama
Beasts of No Nation,SAG,2015,0,Drama
The Big Short,SAG,2015,0,
Straight Outta Compton,SAG,2015,0,Drama
Trumbo,SAG,2015,0,Documentary
Captain Fantastic,SAG,2016,0,Drama
Fences,SAG,2016,0,Drama
Manchester by the Sea,SAG,2016,0,Drama
Moonlight,SAG,2016,0,Drama
The Big Sick,SAG,2017,0,Comedy
Get Out,SAG,2017,0,Horror
Lady Bird,SAG,2017,0,Comedy
Mudbound,SAG,2017,0,Drama
BlacKkKlansman,SAG,2018,0,Comedy
Bohemian Rhapsody,SAG,2018,0,
Crazy Rich Asians,SAG,2018,0,Comedy
A Star Is Born,SAG,2018,0,Drama
Sense and Sensibility,CC,1995,1,Drama
Fargo,CC,1996,1,Comedy
L.A. Confidential,CC,1997,1,Crime
Saving Private Ryan,CC,1998,1,Action
American Beauty,CC,1999,1,Drama
Gladiator,CC,2000,1,Action
A Beautiful Mind,CC,2001,1,
Chicago,CC,2002,1,Comedy
The Lord of the Rings: The Return of the King,CC,2003,1,
Sideways,CC,2004,1,Comedy
Brokeback Mountain,CC,2005,1,Drama
The Departed,CC,2006,1,
No Country for Old Men,CC,2007,1,Crime
Slumdog Millionaire,CC,2008,1,Crime
The Hurt Locker,CC,2009,1,
The Social Network,CC,2010,1,
The Artist,CC,2011,1,Comedy
Argo,CC,2012,1,Drama
12 Years a Slave,CC,2013,1,Drama
Boyhood,CC,2014,1,Drama
Spotlight,CC,2015,1,Thriller
Moonlight,CC,2016,1,Drama
The Shape of Water,CC,2017,1,Adventure
Roma,CC,2018,1,Drama
Big Night,CC,1996,0,Comedy
The Crucible,CC,1996,0,
The English Patient,CC,1996,0,
Evita,CC,1996,0,Drama
Hamlet,CC,1996,0,Crime
Jerry Maguire,CC,1996,0,Drama
Lone Star,CC,1996,0,Drama
The People vs. Larry Flynt,CC,1996,0,
Shine,CC,1996,0,Drama
Amistad,CC,1997,0,Drama
As Good as It Gets,CC,1997,0,Comedy
Boogie Nights,CC,1997,0,Drama
Donnie Brasco,CC,1997,0,Crime
Good Will Hunting,CC,1997,0,Drama
The Full Monty,CC,1997,0,
Titanic,CC,1997,0,Drama
Wag the Dog,CC,1997,0,Comedy
The Wings of the Dove,CC,1997,0,
Elizabeth,CC,1998,0,Drama
Gods and Monsters,CC,1998,0,Drama
Life Is Beautiful,CC,1998,0,Comedy
Out of Sight,CC,1998,0,Comedy
Pleasantville,CC,1998,0,Comedy
Shakespeare in Love,CC,1998,0,Comedy
A Simple Plan,CC,1998,0,
The Thin Red Line,CC,1998,0,War
The Truman Show,CC,1998,0,
Being John Malkovich,CC,1999,0,Comedy
The Cider House Rules,CC,1999,0,
The Green Mile,CC,1999,0,
The Insider,CC,1999,0,
Magnolia,CC,1999,0,Drama
Man on the Moon,CC,1999,0,Comedy
The Sixth Sense,CC,1999,0,
The Talented Mr. Ripley,CC,1999,0,
Three Kings,CC,1999,0,Action
Almost Famous,CC,2000,0,Drama
Billy Elliot,CC,2000,0,Drama
Cast Away,CC,2000,0,Drama
"Crouching Tiger, Hidden Dragon",CC,2000,0,Action
Erin Brockovich,CC,2000,0,Drama
Quills,CC,2000,0,Drama
Thirteen Days,CC,2000,0,Drama
Traffic,CC,2000,0,Crime
Wonder Boys,CC,2000,0,Comedy
You Can Count On Me,CC,2000,0,
Ali,CC,2001,0,Drama
In the Bedroom,CC,2001,0,Drama
The Lord of the Rings: The Fellowship of the Ring,CC,2001,0,
The Man Who Wasn't There,CC,2001,0,Action
Memento,CC,2001,0,Mystery
Moulin Rouge!,CC,2001,0,
Mulholland Drive,CC,2001,0,Crime
The Shipping News,CC,2001,0,
Shrek,CC,2001,0,Adventure
About Schmidt,CC,2002,0,Comedy
Adaptation,CC,2002,0,Comedy
Catch Me If You Can,CC,2002,0,Crime
Far from Heaven,CC,2002,0,Drama
Gangs of New York,CC,2002,0,Crime
The Hours,CC,2002,0,
The Lord of the Rings: The Two Towers,CC,2002,0,
The Pianist,CC,2002,0,
Road to Perdition,CC,2002,0,Crime
Big Fish,CC,2003,0,Drama
Cold Mountain,CC,2003,0,Drama
Finding Nemo,CC,2003,0,Adventure
In America,CC,2003,0,Drama
The Last Samurai,CC,2003,0,
Lost in Translation,CC,2003,0,Comedy
Master and Commander: The Far Side of the World,CC,2003,0,Adventure
Mystic River,CC,2003,0,Crime
Seabiscuit,CC,2003,0,Drama
The Aviator,CC,2004,0,
Collateral,CC,2004,0,Action
Eternal Sunshine of the Spotless Mind,CC,2004,0,Drama
Finding Neverland,CC,2004,0,Drama
Hotel Rwanda,CC,2004,0,Drama
Kinsey,CC,2004,0,Drama
Million Dollar Baby,CC,2004,0,Drama
The Phantom of the Opera,CC,2004,0,Drama
Ray,CC,2004,0,Drama
Capote,CC,2005,0,Crime
Cinderella Man,CC,2005,0,Drama
The Constant Gardener,CC,2005,0,
Crash,CC,2005,0,Drama
"Good Night, and Good Luck",CC,2005,0,
King Kong,CC,2005,0,Action
Memoirs of a Geisha,CC,2005,0,Drama
Munich,CC,2005,0,Action
Walk the Line,CC,2005,0,Drama
Babel,CC,2006,0,Drama
Blood Diamond,CC,2006,0,Action
Dreamgirls,CC,2006,0,Drama
Letters from Iwo Jima,CC,2006,0,Drama
Little Children,CC,2006,0,Drama
Little Miss Sunshine,CC,2006,0,Adventure
Notes on a Scandal,CC,2006,0,Drama
The Queen,CC,2006,0,Drama
United 93,CC,2006,0,Crime
American Gangster,CC,2007,0,Crime
Atonement,CC,2007,0,Drama
The Diving Bell and the Butterfly,CC,2007,0,
Into the Wild,CC,2007,0,Action
Juno,CC,2007,0,Comedy
The Kite Runner,CC,2007,0,
Michael Clayton,CC,2007,0,Drama
Sweeney Todd: The Demon Barber of Fleet Street,CC,2007,0,Drama
There Will Be Blood,CC,2007,0,Drama
Changeling,CC,2008,0,Crime
The Curious Case of Benjamin Button,CC,2008,0,
The Dark Knight,CC,2008,0,Action
Doubt,CC,2008,0,Drama
Frost/Nixon,CC,2008,0,Drama
Milk,CC,2008,0,Drama
The Reader,CC,2008,0,Comedy
WALL-E,CC,2008,0,
The Wrestler,CC,2008,0,
Avatar,CC,2009,0,Action
An Education,CC,2009,0,
Inglourious Basterds,CC,2009,0,Action
Invictus,CC,2009,0,Drama
Nine,CC,2009,0,Drama
Precious,CC,2009,0,Drama
A Serious Man,CC,2009,0,
Up,CC,2009,0,Adventure
Up in the Air,CC,2009,0,Drama
127 Hours,CC,2010,0,Adventure
Black Swan,CC,2010,0,Drama
The Fighter,CC,2010,0,
Inception,CC,2010,0,Action
The King's Speech,CC,2010,0,
The Town,CC,2010,0,
Toy Story 3,CC,2010,0,Adventure
True Grit,CC,2010,0,Adventure
Winter's Bone,CC,2010,0,Drama
The Descendants,CC,2011,0,
Drive,CC,2011,0,Crime
Extremely Loud & Incredibly Close,CC,2011,0,
The Help,CC,2011,0,
Hugo,CC,2011,0,Children
Midnight in Paris,CC,2011,0,Comedy
Moneyball,CC,2011,0,Drama
The Tree of Life,CC,2011,0,
War Horse,CC,2011,0,Drama
Beasts of the Southern Wild,CC,2012,0,Drama
Django Unchained,CC,2012,0,Action
Les Misérables,CC,2012,0,(no genres listed)
Life of Pi,CC,2012,0,Adventure
Lincoln,CC,2012,0,Drama
The Master,CC,2012,0,Action
Moonrise Kingdom,CC,2012,0,Comedy
Silver Linings Playbook,CC,2012,0,Comedy
Zero Dark Thirty,CC,2012,0,Action
American Hustle,CC,2013,0,Crime
Captain Phillips,CC,2013,0,Adventure
Dallas Buyers Club,CC,2013,0,Drama
Gravity,CC,2013,0,Crime
Her,CC,2013,0,Drama
Inside Llewyn Davis,CC,2013,0,Drama
Nebraska,CC,2013,0,Adventure
Saving Mr. Banks,CC,2013,0,Comedy
The Wolf of Wall Street,CC,2013,0,
Birdman,CC,2014,0,
Gone Girl,CC,2014,0,Drama
The Grand Budapest Hotel,CC,2014,0,
The Imitation Game,CC,2014,0,Drama
Nightcrawler,CC,2014,0,Crime
Selma,CC,2014,0,Drama
The Theory of Everything,CC,2014,0,Drama
Unbroken,CC,2014,0,Drama
Whiplash,CC,2014,0,Drama
The Big Short,CC,2015,0,
Bridge of Spies,CC,2015,0,Drama
Brooklyn,CC,2015,0,Drama
Carol,CC,2015,0,Drama
Mad Max: Fury Road,CC,2015,0,Action
The Martian,CC,2015,0,Adventure
The Revenant,CC,2015,0,Adventure
Room,CC,2015,0,Drama
Sicario,CC,2015,0,Crime
Star Wars: The Force Awakens,CC,2015,0,
Arrival,CC,2016,0,Sci-Fi
Fences,CC,2016,0,Drama
Hacksaw Ridge,CC,2016,0,Drama
Hell or High Water,CC,2016,0,Crime
La La Land,CC,2016,0,Comedy
Lion,CC,2016,0,Drama
Loving,CC,2016,0,Comedy
Manchester by the Sea,CC,2016,0,Drama
Sully,CC,2016,0,Drama
The Big Sick,CC,2017,0,Comedy
Call Me by Your Name,CC,2017,0,Drama
Darkest Hour,CC,2017,0,Drama
Dunkirk,CC,2017,0,War
The Florida Project,CC,2017,0,Drama
Get Out,CC,2017,0,Horror
Lady Bird,CC,2017,0,Comedy
The Post,CC,2017,0,Drama
"Three Billboards Outside Ebbing, Missouri",CC,2017,0,Crime
BlacKkKlansman,CC,2018,0,Comedy
Black Panther,CC,2018,0,Action
The Favourite,CC,2018,0,Drama
First Man,CC,2018,0,
Green Book,CC,2018,0,
If Beale Street Could Talk,CC,2018,0,Drama
Mary Poppins Returns,CC,2018,0,
A Star Is Born,CC,2018,0,Drama
Vice,CC,2018,0,Crime